Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,What is your stress level (0-100)?,"You can get 100 euros if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
3/16/2021 14:37:20,Master Tax Law - Tax and Technology,yes,0,mu,ja,male,neither,july 6,2,no,85,50,8,22.15,Having completed a set task.,Happy people
3/24/2021 17:28:48,AI,no,0,sigma,nee,male,I have no idea what you are talking about,December 7,0,no,0,100,3,10,Coffee,Sun
3/25/2021 12:31:29,DMT,no,0,mu,nee,male,fat,23 September 1997,4,no,40,5,33,00:00,Be Happy,Having a very productive day
3/25/2021 15:56:30,CS,no,1,mu,ja,male,I have no idea what you are talking about,30-07-1999,NaN,no,42,5,2147483648,?,If you give me a 10,If you give my team a 10
3/25/2021 17:41:04,AI,yes,0,mu,ja,female,neither,08.03.1998,1,no,20,50,4,2,nice weather,having good food
3/26/2021 11:31:46,system security,no,1,sigma,ja,male,neither,13/1/95,0,no,20,30,5,??,weather,free day
3/26/2021 13:59:32,Quantitative Risk Management,yes,0,mu,nee,male,fat,28-07-1997,0,no,20,0,34612,1:30,Classical music,Data mining :-P
3/26/2021 14:30:47,Computational Science,no,0,sigma,nee,male,neither,"November 14, 1993",0,no,20,About 20 cents,7,12 a.m.,Making progress in a tough course,"Watching the game, smoking some bud"
3/26/2021 15:31:08,AI,no,0,mu,ja,male,neither,08-02-1997,0,no,99,1,6,01:45,Drum,Bass
3/26/2021 22:29:30,AI,no,0,mu,ja,male,neither,30-12,1,no,50,2,4,1am,Meeting a friend,Being productive
3/26/2021 23:46:34,Computational Science,no,0,mu,nee,male,fat,06-05,2,no,90,30,7,1am,Good coffe,Get motivated
3/27/2021 16:02:34,AI,yes,0,mu,nee,male,fat,15-04-1998,3,no,60,5,7,01:00,Start studying early,Finishing everything that I proposed for that day
3/27/2021 19:31:57,big data engineering ,no,1,mu,nee,male,neither,02-07-1977,4,unknown,75,500,7,12:00 PM,feel of achievement ,"go out, talk to people "
3/27/2021 20:59:51,MSc in Bioinformatics and Systems Biology,yes,0,mu,nee,female,neither,11/07/1997,0,no,50,10 euro,7,02:00 a.m.,relaxing and chill schedule,nice weather
3/27/2021 21:19:34,Human Language Technology,yes,0,mu,nee,female,neither,07-04-1998,2,no,20,5,23,2 am,sunny wheather outside,coronavirus restrictions lifted
3/28/2021 10:27:38,Artificial Intelligence,yes,0,mu,ja,female,fat,30-07-1997,0,no,10,10 cents,7,23:10,Socialize a bit,Tidy environment
3/28/2021 10:58:31,computational science,no,0,mu,nee,female,fat,April,0,yes,0,50,8,00:45,get up,food
3/28/2021 11:22:44,MSc Artificial Intelligence,no,0,mu,nee,female,neither,3-9-1966,0,no,70,5,7,11 pm,nice weather,surprising things happen
3/28/2021 12:40:57,QRM,yes,0,mu,ja,male,slim,13-08,0,yes,77,2.5,7,5,Food,Beer
3/28/2021 20:21:27,Master Business Analytics,yes,1,mu,ja,male,slim,06-01-1998,0,no,10,10,14,23:30,No stress,Doing sports
3/28/2021 21:38:59,Msc Artificial Intelligence,yes,unknown,mu,nee,female,neither,04-08-1995,0,no,40,12,4,13:00,food,sleep
3/28/2021 23:23:22,Computational Science,no,0,mu,ja,male,slim,1996-07-31,5,no,7,8,94678309602975980,huh?,Sleeping to a good movie,Food
3/29/2021 0:12:18,cs,no,0,mu,ja,male,fat,1 / 9/ 2020,10,yes,93,93,10,10,happy,very happy
3/29/2021 6:09:27,Computational Science,no,0,mu,nee,male,fat,11-11-1995,0,no,100,0,2,23,Good sleep,Good food
3/29/2021 6:39:25,CS,yes,0,mu,ja,female,fat,10-29-1997,0,no,50,30,14,01:23,Everything is under control.,Delicious food.
3/29/2021 8:32:53,AI Masters,yes,0,mu,ja,male,slim,01-12-1998,1,no,-2,0,3,23,Sun,Good weather
3/29/2021 9:41:50,Linguistics: Text Mining,yes,0,mu,nee,female,neither,13-02-1998,4,unknown,70,50,13,2 am,A productive study/work day,Inner peace
3/29/2021 10:09:42,Bioinformatics and Systems Biology,no,0,mu,nee,female,fat,04-11-1997,0,no,12,2,6.7,22:54,Nice wheather,Seeing my boyfriend
3/29/2021 10:29:23,BA,yes,1,mu,nee,male,neither,13-07-1999,0,no,30,1,6,23:30,Sunny weather,Coffee
3/29/2021 10:39:02,Master Bioinformatics & Systems Biology,yes,0,mu,nee,male,slim,20051989,1,no,30,100,1998,22,Enjoy the sun.,Share some laughts.
3/29/2021 10:49:15,Master in Computational Science,yes,1,mu,ja,male,fat,1996-12-28,0,no,90,20,0,0,sun,no rain
3/29/2021 11:00:34,Python,yes,0,mu,ja,male,fat,10/30/1997,0,no,70,50,8,00:30,laughing,working out
3/29/2021 11:16:17,Msc Econometrics and Operations Research,no,1,mu,nee,male,fat,26-1-1998,0,no,0,20,10,00:00,sunny weather,wake up happy
3/29/2021 11:19:21,Computational science,no,0,mu,ja,male,neither,11-11-1997,0:(,no,5,70,11,12:30,Sunshine,Friends
